,species,genus,introduction,img_url,related_link_0,related_link_1,related_link_2,related_link_3
10,大花羊耳蒜,羊耳蘭屬,不同於多數的蘭花需要悉心照顧，大花羊耳蒜在野外適應力很好，周遭環境惡劣時，會等待適合生長的時機再趁機大放異彩，整株深紫色的花散發一種低調優雅的感覺。,https://i.imgur.com/VqoXYyp.jpg,https://sv.wikipedia.org/wiki/Liparis_nigra,https://zh.wikipedia.org/zh-tw/%E5%A4%A7%E8%8A%B1%E7%BE%8A%E8%80%B3%E8%92%9C,http://b20131201.pixnet.net/blog/post/25939330,https://bruce0342.blogspot.com/2009/04/blog-post_2610.html
11,長葉頭蕊蘭,頭蕊蘭屬,一種蘭花科，可伸展多個直立的無毛莖。深綠色的長葉片向尖端逐漸變細。花以對角線的形式向上懸掛，並有5至20個螺旋形，形成柔和的穗狀花序。你呢果實是果實（前景：內部為多個房間的膠囊狀乾果），細小種子如粉末被風吹散。,https://i.imgur.com/fEZHOqa.jpg,https://baike.baidu.hk/item/%E9%95%B7%E8%91%89%E9%A0%AD%E8%95%8A%E8%98%AD/6866451,http://kplant.biodiv.tw/%E9%AB%98%E5%B1%B1%E9%A0%AD%E8%95%8A%E8%98%AD/%E9%AB%98%E5%B1%B1%E9%A0%AD%E8%95%8A%E8%98%AD.htm,https://kmweb.coa.gov.tw/subject/subject.php?id=33349,https://www.easyatm.com.tw/wiki/%E9%A0%AD%E8%95%8A%E8%98%AD
12,天麻,天麻屬,台灣人很常用天麻當作食補食材，和雞肉一起熬煮成雞湯是最常見的料理方式。天麻沒有根、也沒綠葉，本身不含葉綠素，所以無法進行光合作用，它一生都必須依靠其他真菌獲得養分。,https://i.imgur.com/HRQJ4i9.jpg,https://en.wikipedia.org/wiki/Gastrodia_elata,http://yibian.hopto.org/yao/?yno=57,http://yibian.hopto.org/yao/?yno=57#synd,http://yibian.hopto.org/yao/?yno=57#cnot
13,單葉軟葉蘭,軟葉蘭屬,小花的單葉是一種不起眼的，持久的草本植物，株高達到10到35厘米。根鱗莖（假鱗莖）扁平且呈綠色。它的特徵是圍繞莖桿的單個，有時兩個基本葉片。,https://i.imgur.com/7E484Pd.jpg,https://bruce0342.blogspot.com/2010/09/blog-post_21.html?m=1,https://en.wikipedia.org/wiki/Malaxis_monophyllos,https://zh.wikipedia.org/wiki/%E5%96%AE%E8%91%89%E8%BB%9F%E8%91%89%E8%98%AD,https://blog.xuite.net/jodyhsieh/twblog/142243448
14,Calopogon tuberosus,美鬚蘭屬,刺桐屬植物的特徵是沒有復生的花，在花唇上有鮮豔的頭髮狀凸起。該屬僅發生在美國和加勒比海地區。,https://i.imgur.com/VNaDBnQ.jpg,https://en.wikipedia.org/wiki/Calopogon_tuberosus,https://goorchids.northamericanorchidcenter.org/species/calopogon/tuberosus/,https://www.fs.fed.us/wildflowers/plant-of-the-week/calopogon_tuberosus.shtml,https://www.wildflower.org/plants/result.php?id_plant=CATU5
15,大明石斛,石斛蘭屬,大明石斛的種小名Speciosum在拉丁文的意思為「美麗的、豔麗的」，用來形容其開花特性，它是很受歡迎的栽培用蘭花。大明石斛通常生長在岩石或懸崖上，它的根會緊密地聚在一起，緊緊抓住岩石，它的特性為根系總是覆蓋著潮濕的蕨類或苔蘚。,https://i.imgur.com/MNM77RS.jpg,https://en.wikipedia.org/wiki/Dendrobium_speciosum,https://zh.m.wikipedia.org/zh-hant/%E5%A4%A7%E6%98%8E%E7%9F%B3%E6%96%9B,https://biggo.com.tw/s/%E5%A4%A7%E6%98%8E%E7%9F%B3%E6%96%9B/,https://www.youtube.com/watch?v=H2a0MB_2awk
16,紫苞舌蘭,苞舌蘭屬,紫苞舌蘭是台灣唯一原生的苞舌蘭屬植物，具有緊湊的假鱗莖，會開出多達四十朵粉紅色至紫紅色的花朵，花期非常長，觀賞性極高。主要的威脅來自愛蘭人士的採集和野豬的破壞。,https://i.imgur.com/tRXhfmG.jpg,http://kplant.biodiv.tw/%E7%B4%AB%E8%8B%9E%E8%88%8C%E8%98%AD/%E7%B4%AB%E8%8B%9E%E8%88%8C%E8%98%AD.htm,https://fr.wikipedia.org/wiki/Spathoglottis_plicata,https://en.wikipedia.org/wiki/Spathoglottis_plicata,https://www.nmns.edu.tw/flowers/2003/summer/
17,Sobralia macrantha,蘇伯蘭屬,Sobralia macrantha是蘭花的一種，原產於墨西哥，中美洲和南美洲。它們的蘆葦狀莖高約1至44英尺 。它們通常在整個莖上有重脈，雙瓣，有褶的頂端葉。莖頂上的花序帶有一或兩個連續的短暫的花，具有大的萼片和花瓣。這些花的顏色範圍從純白色到黃色，綠色，粉紅色，紫色，紅色，棕色，甚至是藍紫色。,https://i.imgur.com/VHv5kvC.jpg,http://www.orchidspecies.com/sobmacrantha.htm,https://en.wikipedia.org/wiki/Sobralia_macrantha,https://www.aos.org/orchids/orchids-a-to-z/letter-s/sobralia.aspx,https://travaldo.blogspot.com/2018/04/sobralia-macrantha-care-and-culture.html
18,Arethusa bulbosa(龍嘴蘭),Arethusa,它長到15厘米高 。它形成一朵大的，單一的，粉紅色的頂生花，有艷麗的嘴唇和白色和黃色的流蘇冠。,https://i.imgur.com/ozDkHJj.jpg,https://ewikizh.top/wiki/Dragon%27s_mouth,https://www.rctutku.com/plant/dragons-mouth,https://www.retro-room.com/plant/dragons-mouth,https://chi.donationletterfundraising.com/dragonquots-mouth-plant
19,Bulbophyllum pygmaeum,豆蘭屬,Bulbophyllum pygmaeum可以開出多彩優美的花朵，非常適合作為盆栽擺放在你的房子裡。只要你提供充足的光照和水分，它就可以在你的屋子裡綻放。,https://i.imgur.com/r0XZyUS.jpg,https://www.nzpcn.org.nz/flora/species/bulbophyllum-pygmaeum/,https://en.wikipedia.org/wiki/Bulbophyllum_pygmaeum,https://www.nzpcn.org.nz/flora/species/bulbophyllum-pygmaeum/?download=pdf,https://www.nativeorchids.co.nz/Descriptions/Bulbophyllum_pygmaeum.html
20,Laelia anceps,蕾麗亞屬,Laelia anceps是附生植物藥草（有少量石生植物），具側向壓縮假鱗莖。每個假鱗莖的頂部附近生有1-4片革質或肉質葉，可以寬卵形至長圓形。花序是頂生總狀花序（很少圓錐花序）。該屬包括約25種。在中美洲和南美洲的亞熱帶或溫帶氣候地區發現了laelia anceps物種，但大多數位於墨西哥。,https://i.imgur.com/hOxnFLV.jpg,https://en.wikipedia.org/wiki/Laelia_anceps,http://www.orchidspecies.com/laelancepsvaranceps.htm,http://www.calorchid.com/laelia-anceps-1,https://www.orchidweb.com/blog/laelia-anceps-the-choice-for-beginner-and-expert-growers/
21,裂唇虎舌蘭(無葉上須蘭),虎舌蘭屬,無葉上須蘭是多年生草本植物，身高達5厘米至30厘米 。它是一種無葉，無葉綠素的植物，具有肉質的根莖，高度分支，類似於珊瑚。這種具有異養營養飲食的植物終生依靠真菌共生。,https://i.imgur.com/vGu9fc7.jpg,https://en.wikipedia.org/wiki/Epipogium_aphyllum,https://www.easyatm.com.tw/wiki/%E8%A3%82%E5%94%87%E8%99%8E%E8%88%8C%E8%98%AD,https://www.tesri.gov.tw/A15_1/download1/30178/7,https://baike.baidu.hk/item/%E8%A3%82%E5%94%87%E8%99%8E%E8%88%8C%E8%98%AD/3630912
22,石斛,石斛蘭屬,石斛在園藝上適合作花壇或盆栽觀賞用。其花色優雅芳香，被比喻為「四大觀賞洋花」之一，同時也是中國古文獻中最早記載的蘭科植物之一。,https://i.imgur.com/o8Y0YPs.jpg,https://en.wikipedia.org/wiki/Dendrobium_nobile,http://yibian.hopto.org/db/?yno=12,https://yibian.hopto.org/yao/?yno=12,https://zh.wikipedia.org/zh-tw/%E7%9F%B3%E6%96%9B
23,Earina autumnalis(Easter orchid),Earina,目前（2014年6月），已識別出7種，原產於太平洋各島。新西蘭物種都是附生的，有時也有石生的，生長在北島和南島的雨林的長滿苔蘚的樹幹上。帶狀葉子從根莖蠕動而產生的下擺細細假鱗莖中長出來。花很小，但數量很多。,https://i.imgur.com/liV68wU.jpg,https://www.nzpcn.org.nz/flora/species/earina-autumnalis/,https://en.wikipedia.org/wiki/Earina_autumnalis,https://www.nativeorchids.co.nz/Descriptions/Earina_autumnalis.html,https://inaturalist.nz/taxa/401599-Earina-autumnalis
24,杜鵑蘭(馬鞭蘭),杜鵑蘭屬,馬鞭蘭身為台灣原生蘭花之一，散發怡人青草芬芳的桃紫色花絮垂懸，外形猶如馬鞭，日本稱它為采配蘭，而采配就是日本戰國時期將帥手中的指揮棒。,https://i.imgur.com/9I0zqCQ.jpg,https://en.wikipedia.org/wiki/Cremastra_appendiculata,http://kplant.biodiv.tw/%E9%A6%AC%E9%9E%AD%E8%98%AD/%E9%A6%AC%E9%9E%AD%E8%98%AD.htm,https://www.takao599museum.jp/treasures/selected/1687/?lang=tw,https://zh.wikipedia.org/zh-tw/%E6%9D%9C%E9%B9%83%E5%85%B0%E5%B1%9E
25,綠花肖頭蕊蘭,肖頭蕊蘭屬,綠花肖頭蕊蘭是種常見的野生蘭花，綠色的長型葉片抽出長長的花莖。綠花肖頭蕊蘭常於冬季開花，在其附近即可聞到濃郁的陣陣芳香，花朵中也含有花蜜，黃綠色的小花盛開的模樣十分動人。,https://i.imgur.com/XMjQ4XK.jpg,https://b20131201.pixnet.net/blog/post/25939459,https://bruce0342.blogspot.com/2013/12/blog-post_2472.html,https://bruce0342.blogspot.com/2010/03/blog-post_3.html,https://kmweb.coa.gov.tw/subject/subject.php?id=33349
26,Bulbophyllum kwangtungense,豆蘭屬,Bulbophyllum kwangtungense可以開出多彩優美的花朵，非常適合作為盆栽擺放在你的房子裡。只要你提供充足的光照和水分，它就可以在你的屋子裡綻放。,https://i.imgur.com/YEpqIgY.jpg,http://www.orchidspecies.com/bulbkwangtungense.htm,https://en.wikipedia.org/wiki/Bulbophyllum_kwangtungense,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200028545,http://www.orchid.url.tw/myflowers/bulbophyllum/kwangtungense.htm
27,Bletia purpurea,布萊特蘭屬,Bletia purpurea的長度可以達到5英尺 。它具有卵形（卵形）假鱗莖，直徑可達1.6 。葉子是線性的或狹窄的橢圓形，最長可達40 。花為粉紅色，紫色或偶有白色，在總狀花序或圓錐花序中有時有多達80朵花。萼片小於B. patula，通常長於1.2 。,https://i.imgur.com/HQ3RVNV.jpg,https://es.wikipedia.org/wiki/Bletia_purpurea,https://en.wikipedia.org/wiki/Bletia_purpurea,https://goorchids.northamericanorchidcenter.org/species/bletia/purpurea/,http://www.orchidspecies.com/bletpurpurea.htm
28,心花圍柱蘭,圈柱蘭屬,心花圍柱蘭因唇瓣的形狀與心臟一般而命名，春至初夏開花，色彩豔麗、姿態優美，帶有清新淡雅類似玫瑰花的香氣，易繁殖好照顧，天生麗質的高顏值，具有極高的欣賞與美化室內環境價值。,https://i.imgur.com/1aKAoHI.jpg,http://www.tobgarden.com/orchis/native_orchid.php?mlmenuid=5&msmenuid=53&infoid=651,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id=%22103CSU00063004%22.&searchmode=basic,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id=%22103CSU00063003%22.&searchmode=basic,http://www.fpcn.net/m/view.php?aid=5433
29,Govenia utriculata,戈文蘭屬,Govenia utriculata是一種非常適合種在花盆裡擺放在室內的蘭花，在熱帶地區你還可以把它種在樹上。它的花顏色豐富、開放時間長，可以在你的屋子裡形成多彩的景觀。而且石斛屬的花不僅姿態優雅，而且有的品種有芬芳的香味。它的花開放在細長的莖桿的頂端，適合剪切下來插在花瓶中觀賞，觀賞價值高。它對環境有一些嚴格，需要你提供充足的陽光、水分和溫度。,https://i.imgur.com/OPCQWse.jpg,https://en.wikipedia.org/wiki/Govenia_utriculata,http://www.orchidspecies.com/govutriculata.htm,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636271-1,https://www.biotaxa.org/Phytotaxa/article/view/phytotaxa.487.3.2
30,蘆莖樹蘭,樹蘭屬,蘆莖樹蘭適合作為庭園植栽或盆栽，若作為切花花材，可在瓶中維持2~3週的觀賞時間。蘆莖樹蘭的種小名是源於radicate一詞，表示其莖部容易長出氣生根的特色！,https://i.imgur.com/CMSKjbF.jpg,http://kplant.biodiv.tw/%E8%98%86%E8%8E%96%E6%A8%B9%E8%98%AD/%E8%98%86%E8%8E%96%E6%A8%B9%E8%98%AD.htm,https://en.wikipedia.org/wiki/Epidendrum_radicans,https://m.xuite.net/blog/chiehhao609/blog/589735347,https://zh.m.wikipedia.org/zh-tw/%E8%98%86%E8%8E%96%E6%A8%B9%E8%98%AD
31,鴿石斛,石斛蘭屬,鴿石斛可藉由下雨或氣溫控制，在突然驟降的溫度下開出美麗的花朵──白色花瓣帶有一抹黃色的唇，風姿優美，因長相像飛翔的鴿子而得其名。鴿石斛的花朵不僅美觀，還會散發出濃郁的花香呢。,https://i.imgur.com/igPRFpr.jpg,https://en.wikipedia.org/wiki/Dendrobium_crumenatum,https://zh.wikipedia.org/zh-tw/%E9%B4%BF%E7%9F%B3%E6%96%9B,https://www.ruten.com.tw/find/?q=%E9%B4%BF%E7%9F%B3%E6%96%9B,https://blog.xuite.net/hann_long/wretch/177390890
32,樹蘭,樹蘭屬,樹蘭有一定的耐寒能力，可忍受輕微的霜凍，常有鳥類或蝴蝶來替其進行授粉，據說一年可以開花數次，常能看見其橙色、紅色、淡紫色等多種色調的花朵。,https://i.imgur.com/nEugnZo.jpg,https://en.wikipedia.org/wiki/Aglaia_odorata,https://sowhc.sow.org.tw/html/observation/plant/a16plant/a161603-su-lan/su-lan.htm,http://kplant.biodiv.tw/%E6%A8%B9%E8%98%AD/%E6%A8%B9%E8%98%AD.htm,https://zh.wikipedia.org/zh-tw/%E6%A8%B9%E8%98%AD
33,金氏蓋藥蘭,石斛屬,金氏蓋藥蘭為原生於大洋洲的一種蘭花，其盛開的花朵形狀像極了展翅的鴿子，所以又稱「澳洲鴿石斛」。金氏蓋藥蘭是蘭花中生命力較為強健的品種，非常適合作為蘭花新手的入門選擇。,https://i.imgur.com/YbXX5sf.jpg,https://orchid-story.blogspot.com/2018/09/thelychiton-kingianum.html,https://orchid-story.blogspot.com/2018/10/kingidium-philippinensis_18.html,https://www.dnb.com.tw/Corporate-Overview/,http://m.mtime.cn/movie?movieId=265119
34,Epidendrum fimbriatum,樹蘭屬,Epidendrum fimbriatum細長的莖上生長著美麗、密集的花朵，可以在屋子里或陽台、院子中形成美麗的景觀。樹蘭屬（ Epidendrum ）花朵種類豐富、色彩鮮豔，從純色到條紋、斑點應有盡有，有的花瓣邊緣還帶有流蘇，可以為你帶來豐富的觀賞樂趣。 epidendrum fimbriatum是最容易生長、開花的蘭花之一，養護比較簡單；你是最容易生長、開花的蘭花之一，只需要提供充足的陽光和水分，不用操太多的心去照顧它們。,https://i.imgur.com/HQ7JLSA.jpg,https://en.wikipedia.org/wiki/Epidendrum_fimbriatum,http://www.orchidspecies.com/epifimbriatum.htm,https://www.orchidpeople.com/products/epidendrum/epidendrum-fimbriatum,https://andysorchids.com/pictureframe.asp?PicId=2885
35,Dendrobium cunninghamii(聖誕節蘭),石斛屬,Dendrobium cunninghamii是一種附生的或石生的蘭花草本植物，形成7英尺寬的簇狀莖，長到3英尺長，直徑為0.3 英尺 ，是線狀的甘蔗狀莖。葉子是窄線性的，長1-2 ，寬約0.12 。短的側生花梗上最多開花八朵0.8-1的白色花朵。花瓣和萼片為白色，但but的某些部分為玫瑰粉色，紫色和綠色。 lum有三個裂片。,https://i.imgur.com/AFw01D2.jpg,https://orchid-story.blogspot.com/2018/12/winika-cunninghamii.html,https://www.facebook.com/Orchidstory.blog/,https://blog.xuite.net/chiehhao609/blog/529573999,https://www.tl80.cn/index.php/article/407581
36,Hammarbya paludosa,Hammarbya,它是一種很小的不起眼的蘭花，可以達到15厘米高，但通常長到4厘米到8厘米之間 。莖是黃綠色的，有三個到五個角，從一個小假鱗莖開始生長。有兩個，三個或有時四個基生葉。它們是橢圓形至長方形，肉質和淺綠色或黃綠色。花朵長成1.5-6厘米長的穗狀總狀花序，最多可養 25朵花。它們小而綠色，大約2毫米寬， 4毫米高。它們具有三個萼片和三個花瓣，其中之一被修飾成唇形。,https://i.imgur.com/8Yapbpf.jpg,https://plantatlas.brc.ac.uk/plant/hammarbya-paludosa,https://goorchids.northamericanorchidcenter.org/species/hammarbya/paludosa/,https://www.first-nature.com/flowers/hammarbya-paludosa.php,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13840
37,叢寶蘭,Limodorum,它是一種長至85厘米的根莖草本植物，從4月至6月產生了10-20朵紫色的花序。種子是蘭花產生的最大種子之一，幼苗生長非常緩慢，在開花前會完全保留在地下8-10年。,https://i.imgur.com/xr9NO5z.jpg,https://en.wikipedia.org/wiki/Limodorum_abortivum,https://www.hao1c.com/species/list.php?catid=80631,http://www.cfh.ac.cn/Spdb/spsearch.aspx?aname=Limodorum%20flavum,https://factpedia.org/index.php?title=%E5%80%92%E5%9E%82%E6%98%A5%E7%9F%B3%E6%96%9B&variant=zh-hant
38,Earina mucronata,Earina,葉片沿扁平的無分支假鱗莖在一個平面中交替排列，假鱗莖的長度可以長到1 m ，但通常較短。鞘的寬度為2毫米或3毫米 ，與秋天的大腸桿菌相反，它們很難拔除。花在分支的總狀花序上成批生產。萼片，花瓣和柱通常為白色或乳白色，而標籤通常為黃色，儘管有時會遇到白色，杏色和橙色。,https://i.imgur.com/TAAsmH9.jpg,https://en.wikipedia.org/wiki/Earina_mucronata,https://www.nzpcn.org.nz/flora/species/earina-mucronata/,https://www.nativeorchids.co.nz/Descriptions/Earina_mucronata.html,https://inaturalist.nz/taxa/401597-Earina-mucronata
39,坦普爾圈柱蘭,圈柱蘭屬,坦普爾圈柱蘭原產於佛羅里達；儘管在當地產量高，為避免過度的商業性剝削，銷售坦普爾圈柱蘭是要具備執照的。它的花有蜂蜜的香味，可吸引多種蜜蜂。,https://i.imgur.com/Lxj6asW.jpg,https://blog.xuite.net/smile27/flower/419222743,https://www.youtube.com/watch?v=vZWVPdfmUlM,http://www.lhbkw.com/tag/128,http://hkcww.org/malaysiaplant/readdb_photo_v2.php?fielddata=Encyclia&searchsection=A
40,紅花頭蕊蘭,頭蕊蘭屬,每個開花芽達到20–70厘米高。枝條從爬行的根莖中生長。莖在基部光滑，並被較高的短腺毛覆蓋。幼芽有2至8片披針形葉子，大小從5到14厘米長，從1到3 厘米寬不等，最大可達5厘米寬。花瓣彎曲且披針形。,https://i.imgur.com/0NtBUAp.jpg,https://en.wikipedia.org/wiki/Cephalanthera_rubra,https://www.easyatm.com.tw/wiki/%E5%A4%A7%E8%8A%B1%E9%A0%AD%E8%95%8A%E8%98%AD,https://www.wikiwand.com/zh/%E9%A0%AD%E8%95%8A%E8%98%AD%E5%B1%AC,https://www.wiki.zh-cn.nina.az/wiki/%E9%A0%AD%E8%95%8A%E8%98%AD%E5%B1%AC
41,長距根節蘭,根節蘭屬,長距根節蘭是一種非常稀有的蘭花，多生活在較高海拔森林中的潮濕處。由於棲息地被破壞，這種植物已日漸稀少。,https://i.imgur.com/ADgh6da.jpg,https://en.wikipedia.org/wiki/Calanthe_sylvatica,https://www.nmns.edu.tw/flowers/2009/fall/08-25/,https://hiking.biji.co/index.php?q=review&act=info&review_id=14153,https://bruce0342.blogspot.com/2010/09/blog-post_14.html
42,臺灣根節蘭,根節蘭屬,臺灣根節蘭的葉子又長又大，早期臺灣人會用它來包粽子，因此也稱為「粽葉根節蘭」。要分辨臺灣根節蘭和竹葉根節蘭有點難，前者的花通常長得比葉片高，後者的花比較害羞，常躲在葉片下。,https://i.imgur.com/NLiS6Qb.jpg,http://www.orchidspecies.com/calspeciosa.htm,https://hiking.biji.co/index.php?q=review&act=info&review_id=14183,https://kmweb.coa.gov.tw/subject/subject.php?id=4228,https://kmweb.coa.gov.tw/subject/subject.php?id=33330
43,一葉羊耳蒜,羊耳蘭屬,此物種因假球莖上長出一片葉子，被稱為一葉羊耳蒜。其幼葉的葉片會彼此輕輕的對摺，所以又稱為「摺疊羊耳蒜」。它通常居住在潮濕的山區或岩壁上，而且特別喜歡黏在樹木身上生長。,https://i.imgur.com/9nlRuoi.jpg,http://b20131201.pixnet.net/blog/post/53222527,https://bruce0342.blogspot.com/2011/01/blog-post_5.html,http://www.orchidspecies.com/lipbootanensis.htm,https://blog.xuite.net/jodyhsieh/twblog/142243654
